ID,CATEGORY_A,CATEGORY_B,NUMERIC_1,NUMERIC_2,NUMERIC_3,LABEL
7357,beta,medium,51.06,19.85,149,1
7358,beta,low,64.47,65.56,453,1
7359,beta,low,58.4,67.91,414,0
7360,beta,medium,65.6,88.8,95,1
7361,alpha,low,66.31,43.11,321,1
7362,alpha,low,17.42,79.95,380,1
7363,alpha,high,45.45,62.5,307,0
7364,alpha,medium,72.68,34.77,159,1
7365,alpha,low,57.92,96.32,137,1
7366,alpha,high,48.01,27.1,496,1
7367,alpha,high,42.73,62.86,332,1
7368,alpha,low,17.74,77.21,11,0
7369,alpha,high,64.23,11.32,38,0
7370,beta,high,41.52,48.55,410,0
7371,beta,high,54.4,55.15,8,1
7372,beta,high,47.8,8.82,437,1
7373,alpha,low,31.1,47.37,146,1
7374,alpha,low,33.25,65.0,450,1
7375,beta,medium,54.84,24.36,302,1
7376,alpha,medium,78.19,20.87,62,1
7377,alpha,medium,13.96,38.07,133,1
7378,alpha,low,43.93,19.43,385,0
7379,beta,medium,22.93,8.04,343,0
7380,beta,medium,52.01,84.03,232,1
7381,alpha,medium,29.03,27.19,155,0
7382,alpha,low,49.61,37.46,216,1
7383,beta,high,75.75,0.14,477,1
7384,beta,low,70.64,61.93,134,1
7385,alpha,medium,41.49,13.72,86,0
7386,alpha,high,37.12,33.57,159,0
7387,beta,low,61.69,55.24,29,1
7388,alpha,low,53.93,19.97,431,0
7389,beta,high,35.86,15.49,440,0
7390,beta,medium,35.17,4.41,494,1
7391,alpha,medium,40.75,83.35,233,1
7392,beta,low,10.39,35.14,489,0
7393,alpha,high,36.26,99.86,28,0
7394,alpha,high,54.88,5.61,364,0
7395,beta,low,50.22,85.67,245,1
7396,alpha,medium,43.81,31.53,97,1
7397,alpha,low,49.26,82.83,338,1
7398,alpha,low,53.97,64.94,172,1
7399,beta,low,40.3,58.9,297,1
7400,beta,medium,52.23,89.93,84,1
7401,alpha,medium,59.39,10.07,339,1
7402,alpha,medium,40.75,29.13,388,0
7403,alpha,high,68.02,66.96,216,1
7404,alpha,low,50.14,73.92,247,0
7405,alpha,medium,34.98,91.96,456,0
7406,beta,low,34.58,49.37,413,0
7407,alpha,medium,42.94,27.97,8,0
7408,alpha,low,52.28,36.09,25,1
7409,beta,low,21.8,25.09,257,0
7410,alpha,high,34.34,43.95,437,0
7411,alpha,medium,47.86,24.35,203,1
7412,beta,high,58.56,4.86,208,1
7413,alpha,low,57.83,77.34,434,0
7414,alpha,low,69.89,70.61,21,1
7415,alpha,low,57.23,40.78,363,1
7416,alpha,low,51.52,34.57,115,0
7417,beta,high,30.67,63.6,188,0
7418,alpha,high,44.41,61.48,443,1
7419,beta,low,28.85,31.2,124,0
7420,alpha,high,29.18,22.66,355,0
7421,beta,high,34.74,78.89,97,0
7422,beta,medium,63.01,55.74,288,1
7423,beta,high,63.24,38.57,95,0
7424,beta,medium,46.59,85.03,245,0
7425,alpha,low,55.51,58.59,198,0
7426,beta,low,45.73,48.91,212,0
7427,alpha,high,45.99,62.62,410,1
7428,alpha,low,46.11,81.32,13,1
7429,beta,high,25.36,33.71,350,0
7430,alpha,medium,30.87,31.76,67,1
7431,alpha,high,81.35,80.54,1,1
7432,alpha,medium,56.45,75.76,155,1
7433,beta,low,59.18,55.7,135,1
7434,beta,medium,25.63,59.36,424,0
7435,beta,high,42.25,55.45,28,0
7436,alpha,high,29.27,93.84,208,1
7437,alpha,low,46.9,87.61,362,1
7438,beta,high,62.51,49.64,339,0
7439,beta,medium,58.01,86.99,320,0
7440,beta,high,35.45,36.86,170,0
7441,beta,medium,24.51,20.29,180,0
7442,beta,high,60.06,56.72,413,0
7443,beta,medium,38.62,0.5,421,0
7444,alpha,medium,54.68,65.85,55,1
7445,alpha,low,31.99,90.66,457,0
7446,beta,medium,56.05,79.78,128,1
7447,alpha,high,49.06,95.03,391,1
7448,beta,low,50.98,20.25,111,0
7449,alpha,low,64.1,5.4,118,0
7450,alpha,low,58.24,71.37,403,0
7451,alpha,medium,55.28,0.8,47,0
7452,beta,medium,62.21,30.21,403,0
7453,beta,medium,55.79,57.96,1,1
7454,beta,low,41.68,31.63,173,0
7455,beta,high,64.2,19.82,446,1
7456,alpha,medium,50.84,23.58,276,1
7457,beta,high,58.32,27.79,321,1
7458,alpha,medium,57.43,91.55,358,1
7459,beta,low,70.11,9.92,273,1
7460,beta,medium,42.27,11.84,280,1
7461,alpha,high,53.02,94.45,280,1
7462,alpha,high,35.73,97.72,14,1
7463,beta,low,55.76,60.25,461,0
7464,alpha,low,45.81,39.83,103,1
7465,beta,high,71.4,95.85,144,1
7466,alpha,high,63.84,13.71,122,1
7467,beta,high,50.11,55.89,373,1
7468,alpha,high,33.16,30.27,242,1
7469,alpha,medium,49.09,81.52,113,0
7470,alpha,high,26.47,42.11,32,1
7471,beta,medium,48.88,72.7,216,0
7472,alpha,low,52.9,40.82,86,1
7473,alpha,medium,50.67,61.41,472,1
7474,beta,high,67.26,86.74,121,1
7475,alpha,medium,44.41,46.82,490,1
7476,beta,low,73.31,99.54,276,1
7477,alpha,high,49.09,85.86,25,0
7478,beta,high,59.81,61.57,265,1
7479,beta,high,49.02,16.7,373,0
7480,alpha,low,47.59,59.99,225,1
7481,alpha,low,47.04,85.96,268,1
7482,alpha,medium,48.3,11.59,205,0
7483,alpha,low,63.52,21.99,167,0
7484,alpha,medium,34.81,10.03,296,0
7485,beta,high,31.37,78.18,97,0
7486,beta,medium,48.05,40.53,432,0
7487,beta,medium,72.02,17.7,236,0
7488,beta,high,73.0,15.76,241,1
7489,alpha,medium,47.18,53.66,350,1
7490,beta,low,66.15,11.24,68,0
7491,beta,medium,45.54,19.92,15,1
7492,alpha,medium,48.33,28.53,442,0
7493,beta,high,76.2,98.44,273,0
7494,beta,low,83.45,47.26,386,1
7495,beta,high,57.92,67.8,157,0
7496,alpha,low,19.18,74.57,260,1
7497,beta,medium,30.98,13.35,398,0
7498,beta,low,51.47,86.53,5,1
7499,alpha,high,73.38,80.73,419,1
7500,beta,low,34.77,78.92,282,0
7501,beta,medium,44.86,54.21,459,1
7502,beta,high,61.89,49.75,282,1
7503,alpha,low,26.36,62.11,61,0
7504,alpha,low,38.58,83.97,477,1
7505,alpha,low,67.01,40.3,119,0
7506,alpha,low,59.31,51.51,218,1
7507,alpha,low,83.65,77.87,27,0
7508,alpha,high,46.08,75.06,47,1
7509,alpha,high,80.7,7.01,128,1
7510,beta,medium,34.76,86.75,4,0
7511,alpha,medium,55.19,93.19,86,0
7512,beta,high,41.65,77.6,279,1
7513,beta,medium,32.46,60.8,276,0
7514,alpha,low,41.83,98.66,209,1
7515,beta,low,30.58,79.69,86,0
7516,beta,medium,82.36,66.64,242,1
7517,alpha,medium,62.69,98.65,467,0
7518,alpha,medium,22.87,99.32,198,0
7519,alpha,low,52.1,89.73,155,0
7520,beta,low,43.63,38.55,397,0
7521,alpha,low,46.17,98.84,225,1
7522,alpha,low,46.03,17.32,251,1
7523,beta,high,52.74,65.12,103,1
7524,alpha,high,38.48,62.75,198,1
7525,alpha,medium,49.99,73.94,347,0
7526,beta,high,63.08,78.84,400,1
7527,beta,medium,44.11,43.35,336,1
7528,alpha,low,78.41,38.57,432,1
7529,beta,medium,63.8,8.73,141,1
7530,alpha,medium,49.53,58.28,303,0
7531,alpha,medium,50.17,79.59,141,1
7532,beta,medium,35.19,62.58,294,0
7533,beta,low,79.2,71.81,387,0
7534,beta,medium,62.57,45.65,21,1
7535,alpha,low,45.72,14.35,282,1
7536,alpha,high,56.15,64.61,80,0
7537,beta,medium,50.96,37.33,66,1
7538,beta,high,71.63,34.12,17,1
7539,alpha,high,60.02,18.74,474,1
7540,alpha,high,55.03,17.93,426,0
7541,beta,low,51.62,60.73,114,0
7542,alpha,medium,10.92,31.94,425,0
7543,alpha,high,48.59,33.97,427,1
7544,alpha,high,55.96,36.85,471,0
7545,beta,low,53.18,76.77,82,0
7546,alpha,low,28.34,92.87,170,0
7547,alpha,low,45.19,79.99,74,0
7548,beta,low,57.51,69.96,266,1
7549,alpha,low,44.7,31.18,138,0
7550,beta,high,48.77,39.76,6,1
7551,beta,low,44.07,75.52,1,1
7552,alpha,medium,50.97,37.2,323,0
7553,alpha,high,48.46,87.87,451,0
7554,alpha,low,55.6,86.81,260,1
7555,beta,low,-0.55,65.82,374,0
7556,beta,high,30.44,29.12,17,1
7557,alpha,low,42.95,5.38,352,0
7558,alpha,low,36.6,89.6,98,0
7559,alpha,high,64.59,58.66,289,1
7560,beta,low,61.6,8.53,208,1
7561,beta,low,49.89,73.92,245,1
7562,alpha,medium,75.56,70.06,362,1
7563,beta,medium,42.45,87.91,152,1
7564,alpha,high,73.19,51.39,335,0
7565,beta,low,74.99,11.34,115,0
7566,beta,low,60.68,92.09,183,0
7567,alpha,medium,60.24,15.12,181,1
7568,alpha,medium,82.51,72.48,107,0
7569,alpha,medium,29.5,61.41,276,0
7570,alpha,low,33.12,38.06,128,0
7571,beta,medium,43.18,30.95,217,0
7572,beta,high,58.94,76.05,359,1
7573,beta,high,63.29,86.6,174,0
7574,alpha,low,20.08,41.28,360,0
7575,alpha,medium,48.0,83.63,279,1
7576,beta,medium,70.46,3.95,162,1
7577,beta,high,29.32,2.59,157,0
7578,beta,low,36.95,69.36,340,0
7579,beta,low,58.67,52.82,322,1
7580,beta,low,31.54,56.81,210,0
7581,beta,low,53.8,2.59,113,0
7582,alpha,high,51.87,90.05,307,1
7583,alpha,medium,43.77,83.52,179,1
7584,beta,low,34.19,80.71,172,0
7585,alpha,medium,55.43,88.6,347,0
7586,alpha,medium,22.65,92.81,249,0
7587,beta,high,34.12,26.43,236,1
7588,beta,low,72.22,52.51,305,1
7589,beta,medium,59.23,85.12,192,1
7590,alpha,medium,67.09,23.75,185,0
7591,beta,high,48.9,98.45,101,0
7592,alpha,high,70.87,20.8,492,1
7593,alpha,low,58.63,25.25,356,1
7594,alpha,high,44.99,12.46,304,0
7595,beta,low,66.46,40.49,134,1
7596,beta,high,58.0,72.37,375,0
7597,beta,high,33.11,96.72,227,1
7598,beta,low,54.67,23.78,306,1
7599,alpha,low,47.36,15.4,285,1
7600,alpha,high,63.0,43.3,12,0
7601,beta,low,63.06,8.31,303,1
7602,beta,low,44.2,67.2,260,1
7603,alpha,medium,32.43,44.61,307,0
7604,alpha,high,79.54,82.61,469,1
7605,alpha,medium,51.67,82.7,373,1
7606,beta,low,78.23,59.23,12,1
7607,alpha,medium,70.23,33.28,347,1
7608,beta,high,49.27,18.32,356,1
7609,alpha,high,41.43,42.01,95,0
7610,beta,high,49.16,49.99,391,1
7611,alpha,high,61.94,96.31,66,1
7612,alpha,high,44.92,88.62,252,1
7613,alpha,low,52.44,58.16,88,0
7614,alpha,low,64.19,90.35,318,0
7615,beta,medium,49.65,63.76,307,1
7616,alpha,low,40.5,32.7,289,0
7617,alpha,high,60.29,23.66,371,1
7618,beta,high,75.58,45.92,313,1
7619,alpha,medium,79.44,29.13,253,1
7620,alpha,high,38.95,10.58,240,1
7621,beta,low,38.12,20.77,355,1
7622,beta,high,0.09,93.21,231,0
7623,beta,low,35.6,71.06,129,0
7624,alpha,low,56.47,4.9,158,1
7625,alpha,high,36.74,98.26,200,1
7626,alpha,high,59.84,45.9,432,1
7627,beta,high,57.48,4.04,354,0
7628,alpha,low,41.77,55.51,180,0
7629,alpha,high,68.03,77.36,202,0
7630,beta,high,31.21,66.81,10,1
7631,alpha,low,41.55,83.26,457,0
7632,alpha,medium,64.89,88.94,127,0
7633,beta,medium,36.51,30.95,332,1
7634,alpha,high,42.12,80.23,92,0
7635,alpha,medium,59.23,40.78,253,1
7636,beta,medium,61.16,46.62,286,1
7637,alpha,high,35.58,72.25,277,0
7638,beta,medium,58.42,73.38,320,0
7639,beta,medium,40.16,82.41,399,0
7640,alpha,high,30.22,68.18,162,1
7641,alpha,low,64.02,76.3,420,1
7642,beta,high,52.59,69.81,476,0
7643,alpha,high,42.97,53.16,389,1
7644,beta,medium,58.27,4.28,392,1
7645,alpha,medium,45.33,70.42,485,0
7646,alpha,high,55.19,92.21,441,1
7647,beta,high,38.56,59.78,292,0
7648,alpha,low,48.86,35.05,207,0
7649,beta,high,28.29,8.4,256,1
7650,alpha,low,59.8,22.26,26,1
7651,alpha,low,28.53,9.28,22,1
7652,beta,high,57.24,34.78,365,1
7653,beta,high,48.01,96.86,314,0
7654,alpha,high,27.29,60.17,489,1
7655,alpha,high,48.45,38.22,199,1
7656,alpha,medium,78.56,53.36,75,1
7657,alpha,medium,57.04,45.04,400,1
7658,beta,high,57.22,96.77,3,1
7659,beta,high,61.49,3.66,82,1
7660,beta,low,46.06,88.0,385,1
7661,beta,medium,41.32,36.07,326,1
7662,alpha,high,67.64,28.84,233,1
7663,beta,low,20.58,75.36,488,0
7664,alpha,low,70.39,7.49,212,0
7665,beta,low,22.38,26.11,334,1
7666,beta,high,30.28,80.46,368,1
7667,alpha,medium,52.99,26.0,293,0
7668,beta,medium,50.87,64.3,309,1
7669,beta,medium,28.32,32.87,154,0
7670,alpha,high,33.35,41.29,4,1
7671,alpha,high,61.1,45.24,440,1
7672,alpha,low,53.24,55.54,286,0
7673,beta,medium,47.57,1.63,359,1
7674,beta,medium,56.16,66.64,324,1
7675,alpha,high,51.2,26.05,136,1
7676,alpha,low,65.16,40.21,122,1
7677,beta,low,48.69,29.63,236,1
7678,alpha,low,49.84,42.61,10,1
7679,beta,low,34.99,6.53,383,0
7680,alpha,low,58.32,21.59,201,1
7681,beta,high,40.44,98.8,346,1
7682,beta,low,41.99,4.1,361,1
7683,alpha,high,84.43,94.38,189,1
7684,beta,high,57.31,34.87,453,1
7685,alpha,high,71.2,79.13,238,1
7686,beta,medium,36.6,76.98,152,0
7687,beta,low,36.66,65.17,25,1
7688,alpha,high,11.33,15.01,247,0
7689,beta,medium,81.26,32.31,157,1
7690,beta,medium,39.2,24.93,71,0
7691,beta,low,68.86,18.22,353,0
7692,alpha,low,47.51,85.73,341,1
7693,alpha,medium,43.18,19.95,173,0
7694,alpha,low,18.64,96.1,445,1
7695,alpha,medium,73.56,41.27,14,1
7696,beta,medium,40.85,32.97,49,0
7697,alpha,medium,36.35,12.78,22,0
7698,beta,medium,59.22,7.09,225,1
7699,alpha,medium,17.62,61.94,411,0
7700,beta,high,48.8,39.47,475,1
7701,alpha,medium,68.56,81.84,407,1
7702,beta,low,65.78,1.64,236,0
7703,beta,medium,40.23,63.17,401,0
7704,beta,medium,46.36,8.28,271,1
7705,alpha,low,77.26,5.14,290,1
7706,alpha,high,53.33,98.71,57,0
7707,beta,high,54.22,55.2,152,1
7708,beta,high,62.07,96.13,468,0
7709,beta,medium,62.8,85.72,221,1
7710,beta,low,70.59,90.19,17,1
7711,alpha,medium,44.23,11.63,2,1
7712,beta,medium,52.19,1.17,244,0
7713,alpha,high,39.35,68.72,47,1
7714,alpha,high,43.8,29.18,167,1
7715,alpha,medium,60.09,55.7,367,1
7716,alpha,medium,74.42,84.22,339,1
7717,beta,high,19.37,33.16,341,1
7718,alpha,medium,30.41,75.06,424,0
7719,beta,low,42.25,26.2,291,0
7720,beta,high,50.14,97.83,354,0
7721,alpha,medium,65.1,49.21,256,0
7722,alpha,low,51.38,28.11,123,1
7723,alpha,low,38.94,71.66,15,0
7724,alpha,low,33.9,79.25,120,1
7725,beta,low,74.02,1.67,378,1
7726,beta,low,53.73,74.83,215,1
7727,beta,medium,44.46,52.75,179,1
7728,beta,medium,50.04,94.98,447,0
7729,alpha,high,59.77,83.97,109,1
7730,beta,high,37.96,70.18,406,1
7731,beta,medium,52.86,50.24,15,1
7732,beta,low,47.76,96.79,144,1
7733,beta,low,68.79,2.26,441,0
7734,beta,low,38.35,58.04,494,0
7735,beta,medium,9.17,67.72,121,0
7736,beta,high,86.05,78.95,187,1
7737,alpha,medium,43.41,7.44,109,0
7738,beta,medium,55.24,11.31,350,1
7739,alpha,medium,40.18,30.25,222,0
7740,beta,high,21.05,57.29,121,0
7741,beta,low,53.98,65.36,23,1
7742,alpha,medium,43.24,36.93,75,0
7743,beta,medium,57.29,3.77,315,1
7744,alpha,low,26.07,82.26,205,1
7745,beta,medium,58.1,11.3,231,1
7746,beta,medium,55.2,34.2,73,1
7747,alpha,low,38.54,92.72,72,0
7748,alpha,low,51.9,2.29,398,0
7749,alpha,low,29.91,26.07,46,0
7750,beta,medium,62.37,0.69,106,0
7751,beta,low,65.17,47.99,438,1
7752,alpha,high,44.8,19.64,84,0
7753,alpha,low,42.1,15.88,474,1
7754,alpha,high,49.2,5.33,72,1
7755,beta,high,46.49,62.79,67,0
7756,beta,medium,33.93,83.98,465,1
7757,beta,high,67.14,22.71,36,0
7758,alpha,medium,48.48,15.04,410,1
7759,beta,medium,41.83,7.38,293,0
7760,alpha,low,35.99,38.83,86,1
7761,alpha,medium,62.23,76.9,138,1
7762,alpha,low,62.21,37.95,123,1
7763,alpha,low,41.8,7.23,288,1
7764,alpha,low,30.37,85.87,199,1
7765,alpha,medium,60.81,14.33,486,1
7766,alpha,medium,40.39,95.35,169,1
7767,beta,medium,48.27,76.91,257,1
7768,beta,high,80.39,53.1,482,1
7769,beta,medium,44.61,96.8,251,1
7770,alpha,low,30.62,86.53,337,0
7771,beta,low,49.75,7.29,202,0
7772,beta,medium,46.74,62.95,447,0
7773,beta,low,44.59,75.94,432,0
7774,beta,low,33.38,59.71,291,0
7775,beta,medium,67.02,71.44,196,1
7776,alpha,low,59.37,9.97,485,1
7777,beta,medium,50.97,66.61,67,0
7778,alpha,medium,63.78,54.06,104,0
7779,alpha,medium,32.33,35.98,188,1
7780,beta,high,51.89,11.24,326,0
7781,beta,high,52.14,54.93,291,1
7782,alpha,low,69.29,65.8,404,1
7783,alpha,medium,53.88,25.06,243,0
7784,alpha,low,53.49,54.45,151,1
7785,alpha,high,62.14,54.26,259,1
7786,alpha,low,66.21,57.38,241,1
7787,beta,medium,36.49,16.43,370,1
7788,alpha,medium,60.1,88.45,229,1
7789,beta,high,23.52,57.88,342,1
7790,alpha,high,46.64,47.95,499,0
7791,alpha,high,48.2,8.11,295,1
7792,beta,high,81.87,80.99,453,1
7793,alpha,high,40.3,8.76,125,1
7794,beta,high,42.75,63.75,146,0
7795,beta,medium,74.06,70.13,26,1
7796,beta,high,17.38,11.11,51,0
7797,beta,high,54.26,3.54,293,0
7798,beta,high,50.13,90.05,297,1
7799,alpha,high,10.77,69.65,61,0
7800,alpha,medium,56.11,94.62,471,0
7801,beta,high,58.35,11.5,461,1
7802,beta,medium,28.92,81.15,170,0
7803,beta,low,66.57,67.2,390,0
7804,beta,low,51.85,99.05,210,1
7805,beta,low,65.35,92.76,120,0
7806,alpha,high,60.62,39.99,442,1
7807,alpha,high,43.79,52.83,416,0
7808,beta,low,66.57,29.12,175,0
7809,alpha,high,50.66,98.7,462,1
7810,beta,medium,52.16,63.14,171,0
7811,alpha,low,51.25,38.53,340,1
7812,alpha,low,51.42,1.03,125,0
7813,beta,high,64.98,81.69,45,1
7814,alpha,medium,77.53,39.94,454,1
7815,beta,high,44.14,19.25,5,0
7816,beta,medium,49.29,39.87,410,0
7817,alpha,low,56.44,59.88,365,1
7818,beta,high,62.03,5.54,460,0
7819,alpha,low,38.99,43.49,358,1
7820,alpha,low,77.93,88.1,123,1
7821,beta,high,55.32,18.28,334,1
7822,beta,medium,27.1,20.21,64,0
7823,alpha,low,41.03,78.07,148,1
7824,beta,medium,75.2,89.39,190,1
7825,alpha,low,22.59,66.6,139,0
7826,beta,medium,52.76,67.45,489,1
7827,alpha,medium,55.12,94.68,480,0
7828,beta,high,41.15,36.01,134,1
7829,alpha,low,57.01,46.62,458,0
7830,beta,medium,28.21,44.06,494,0
7831,alpha,high,80.18,27.84,401,1
7832,beta,medium,73.73,72.63,259,0
7833,alpha,low,60.12,81.75,372,1
7834,beta,high,51.47,59.02,379,1
7835,beta,high,37.62,59.32,159,1
7836,alpha,medium,42.93,26.5,242,1
7837,alpha,low,41.04,17.48,96,0
7838,alpha,medium,47.86,28.41,286,1
7839,beta,medium,61.02,22.56,424,1
7840,alpha,medium,34.99,75.9,259,0
7841,alpha,medium,67.17,64.18,210,1
7842,alpha,high,26.77,11.68,186,1
7843,beta,medium,53.07,47.0,288,0
7844,alpha,high,55.69,9.79,95,1
7845,alpha,high,61.09,46.05,113,0
7846,beta,low,57.73,37.76,245,0
7847,alpha,high,47.21,85.77,449,1
7848,beta,low,38.62,34.14,351,0
7849,beta,high,61.96,16.97,102,1
7850,beta,medium,66.51,39.39,35,1
7851,beta,low,54.97,98.47,31,1
7852,alpha,medium,41.49,22.28,420,1
7853,beta,medium,46.68,63.99,119,1
7854,alpha,medium,63.02,83.39,10,1
7855,alpha,low,29.27,89.37,225,0
7856,beta,high,34.11,75.53,289,1
7857,beta,medium,30.68,24.73,275,0
7858,beta,low,50.98,81.34,134,0
7859,beta,low,42.24,60.81,143,1
7860,beta,high,43.27,30.1,495,0
7861,beta,high,59.67,77.13,381,0
7862,beta,high,53.62,27.62,338,0
7863,alpha,medium,50.43,34.84,339,0
7864,alpha,low,44.45,19.11,437,0
7865,beta,medium,26.46,49.28,35,1
7866,beta,low,48.62,7.03,138,0
7867,beta,medium,57.65,32.72,488,1
7868,beta,high,76.33,95.86,46,1
7869,alpha,high,33.59,14.24,174,0
7870,beta,medium,44.83,0.34,3,1
7871,beta,high,49.2,54.33,145,0
7872,beta,medium,50.84,69.43,107,1
7873,beta,high,58.26,73.56,42,1
7874,beta,high,57.34,7.61,311,0
7875,alpha,high,73.34,30.22,370,1
7876,alpha,low,53.63,91.25,246,1
7877,alpha,low,74.13,64.71,279,1
7878,beta,high,46.36,11.26,312,1
7879,beta,high,36.56,75.25,39,1
7880,alpha,high,51.0,73.75,69,0
7881,alpha,high,23.9,76.01,473,1
7882,alpha,medium,48.26,77.94,112,1
7883,alpha,medium,39.16,20.4,475,0
7884,alpha,medium,37.4,29.06,337,0
7885,beta,medium,33.73,28.14,458,0
7886,beta,medium,45.88,20.98,402,0
7887,alpha,high,61.92,26.39,73,1
7888,beta,low,30.83,49.91,489,1
7889,beta,high,54.65,59.95,293,0
7890,alpha,high,49.26,44.31,278,0
7891,beta,medium,51.25,59.63,213,0
7892,alpha,high,65.44,11.32,374,1
7893,beta,low,51.58,44.38,413,0
7894,beta,medium,58.39,32.45,494,0
7895,beta,low,43.51,18.89,284,0
7896,alpha,low,34.3,47.25,42,0
7897,beta,high,38.46,16.2,315,1
7898,beta,low,36.56,40.16,250,0
7899,alpha,high,36.34,11.41,420,0
7900,beta,low,53.55,88.28,455,0
7901,alpha,medium,84.13,76.91,268,1
7902,beta,low,62.26,57.5,283,0
7903,alpha,high,35.45,93.91,469,1
7904,beta,high,59.86,46.65,199,0
7905,alpha,low,49.29,38.09,456,1
7906,alpha,low,43.15,99.94,332,0
7907,alpha,medium,35.21,66.37,230,1
7908,beta,medium,62.12,55.67,392,0
7909,alpha,high,32.78,74.93,482,1
7910,alpha,high,67.17,9.3,66,1
7911,alpha,high,42.91,34.26,439,1
7912,beta,medium,9.06,2.22,74,0
7913,beta,medium,46.02,86.07,371,0
7914,beta,high,24.36,1.25,215,1
7915,beta,low,49.77,25.21,385,0
7916,alpha,high,34.76,10.8,334,1
7917,beta,high,60.08,75.98,285,1
7918,beta,high,56.54,82.91,456,0
7919,alpha,high,31.66,30.83,444,1
7920,beta,medium,57.49,75.53,179,1
7921,alpha,medium,39.61,3.26,279,1
7922,beta,high,34.93,26.33,380,0
7923,beta,low,54.15,88.55,461,1
7924,alpha,medium,49.85,3.56,230,0
7925,beta,low,30.18,46.68,326,1
7926,alpha,medium,59.92,3.55,207,0
7927,beta,high,36.62,57.22,236,0
7928,beta,high,71.57,88.88,135,0
7929,beta,medium,64.63,27.88,123,1
7930,alpha,high,55.61,78.82,455,0
7931,beta,low,47.83,36.85,127,0
7932,beta,low,51.74,19.98,54,0
7933,beta,high,29.25,21.02,442,1
7934,alpha,medium,70.43,30.97,33,1
7935,beta,medium,47.83,40.61,317,1
7936,beta,medium,38.93,89.73,457,1
7937,beta,high,33.01,21.77,234,1
7938,alpha,medium,37.3,27.96,251,1
7939,beta,medium,25.84,86.74,432,0
7940,alpha,medium,30.02,43.88,59,0
7941,beta,low,43.29,88.05,91,0
7942,beta,medium,37.45,43.51,150,0
7943,alpha,high,45.21,24.48,220,0
7944,beta,high,44.46,80.15,382,1
7945,beta,low,65.87,13.96,179,0
7946,alpha,high,72.38,92.62,121,0
7947,alpha,low,40.1,28.8,297,0
7948,alpha,medium,19.23,60.51,340,0
7949,alpha,high,68.15,41.75,342,0
7950,alpha,low,50.65,37.23,444,1
7951,alpha,low,24.57,52.18,106,0
7952,alpha,high,50.46,76.14,248,1
7953,alpha,low,32.86,5.55,412,0
7954,beta,high,71.67,75.21,408,1
7955,alpha,high,43.58,71.04,398,1
7956,beta,low,62.78,51.51,133,0
7957,beta,medium,35.2,85.78,233,0
7958,alpha,high,39.05,21.3,263,0
7959,alpha,high,44.69,97.05,36,1
7960,beta,low,51.49,55.45,19,1
7961,beta,high,46.02,1.17,297,1
7962,alpha,high,30.32,93.97,466,1
7963,alpha,medium,46.76,9.04,475,0
7964,alpha,low,37.85,98.01,209,1
7965,beta,low,48.34,34.41,469,0
7966,beta,medium,58.77,9.61,470,0
7967,alpha,low,76.91,11.23,488,1
7968,beta,low,62.84,27.14,217,1
7969,alpha,medium,42.82,69.14,131,1
7970,beta,low,35.16,29.25,160,1
7971,beta,high,67.98,90.41,281,0
7972,beta,low,52.01,1.42,221,0
7973,alpha,high,36.04,11.13,150,1
7974,beta,low,84.17,87.55,353,1
7975,beta,medium,54.26,29.31,18,0
7976,beta,low,46.77,76.94,117,0
7977,beta,low,43.93,99.6,217,1
7978,beta,medium,67.66,2.94,447,1
7979,beta,high,42.25,47.22,214,1
7980,beta,high,47.54,11.03,220,1
7981,alpha,low,74.3,28.32,468,1
7982,beta,low,63.68,3.7,257,0
7983,alpha,medium,42.68,50.61,386,0
7984,alpha,high,48.47,93.15,113,1
7985,beta,high,52.59,80.96,437,1
7986,beta,low,16.39,29.76,372,0
7987,beta,medium,68.41,14.51,331,1
7988,alpha,high,21.72,2.83,277,0
7989,beta,high,76.18,5.58,15,1
7990,alpha,medium,29.88,93.53,321,1
7991,beta,low,80.53,83.29,493,1
7992,alpha,high,44.77,50.12,337,1
7993,alpha,medium,66.11,43.86,47,1
7994,beta,high,56.29,77.57,209,1
7995,beta,medium,43.28,20.39,432,0
7996,beta,low,44.16,34.94,13,0
7997,beta,medium,33.01,2.76,77,1
7998,alpha,medium,22.77,39.87,331,0
7999,beta,low,43.85,43.15,156,0
8000,beta,medium,43.59,64.14,338,1
8001,alpha,high,65.86,88.42,24,0
8002,beta,low,30.27,79.71,331,0
8003,beta,medium,38.63,65.37,55,1
8004,beta,medium,56.01,90.8,122,1
8005,beta,low,59.11,73.47,460,0
8006,beta,high,62.23,31.35,257,1
8007,beta,high,57.72,33.04,231,0
8008,beta,medium,48.19,29.29,283,0
8009,alpha,high,51.41,85.27,417,1
8010,alpha,low,61.77,0.57,319,1
8011,alpha,high,69.34,46.35,251,1
8012,alpha,high,48.37,38.86,274,1
8013,alpha,low,47.9,16.62,144,1
8014,beta,high,63.3,60.92,23,1
8015,alpha,low,38.58,15.88,458,1
8016,beta,low,46.87,8.26,410,0
8017,beta,high,64.16,25.86,235,1
8018,alpha,low,39.91,50.61,228,1
8019,beta,low,53.24,77.32,167,0
8020,alpha,high,45.32,2.67,47,1
8021,alpha,high,48.59,88.86,258,1
8022,alpha,low,59.85,62.29,164,0
8023,beta,low,46.03,48.14,358,0
8024,beta,medium,31.6,12.26,3,1
8025,beta,high,56.49,18.25,43,0
8026,beta,medium,54.58,99.32,456,0
